prompt,completion,result
"A fishery wants to transport their catch. They can either use local sled dogs or trucks. Local sled dogs and trucks can take different amount of fish per trip. Also, the cost per trip for sled dogs and truck is also differs. You should note that the budget has an upper limit and the number of sled dog trips must be less than the number of truck trips. Formulate an LP to maximize the number of fish that can be transported. DogCapability = 100, TruckCapability = 300, DogCost = 50, TruckCost = 100, MaxBudget = 1000","#miss match
from pulp import *

# Parameters
DogCapability = 100
TruckCapability = 300
DogCost = 50
TruckCost = 100
MaxBudget = 1000

# Create a LP problem
prob = LpProblem(""Maximize Fish Transport"", LpMaximize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of sled dog trips
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of truck trips

# Objective function
prob += DogCapability * x + TruckCapability * y, ""Total fish transported""

# Constraints
prob += DogCost * x + TruckCost * y <= MaxBudget, ""Budget constraint""
prob += x <= y - 1, ""Trip constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",3000
An office supply company makes two types of printers: color printers and black and white printers. Different sections of the factory with different teams produce each printer. The color printer team can produce at most 20 color printers per day while the black and white printer team can produce at most 30 black and white printers per day. Both teams require use of the same paper tray installing machine and this machine can make at most 35 printers of either type each day. Color printers generate a profit of 200 per printer while black and white printers generate a profit of 70 per printer. How many of each printer should be made to maximize the company's profit?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of color printers
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of black and white printers

# Objective function
prob += 200 * x + 70 * y, ""Total_Profit""

# Constraints
prob += x <= 20, ""ColorPrinterLimit""
prob += y <= 30, ""BWPrinterLimit""
prob += x + y <= 35, ""MachineLimit""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",5050
"An accounting firm has senior accountants earning 3000 per week and junior accountants earning 1000 per week. The contracts with companies to provide accounting services require at least 100 accountants, of whom at least 5 must be senior accountants. To make sure there is enough experience on the accounting team, the number of senior accountants should be at least a third of the number to junior accountants. The firm wants to keep the weekly wage bill below $150000. Formulate an LP to minimize the wage bill.","from pulp import *

# Define the LP minimization problem
prob = LpProblem(""Minimize_Wage_Bill"", LpMinimize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of senior accountants
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of junior accountants

# Objective function
prob += 3000 * x + 1000 * y, ""Total_Wage_Bill""

# Constraints
prob += x + y >= 100, ""TotalAccountantsConstraint""
prob += x >= 5, ""MinSeniorAccountantsConstraint""
prob += x >= (1/3) * y, ""ExperienceConstraint""
prob += 3000 * x + 1000 * y <= 150000, ""WageBillConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",150000
Ben is growing apples and pears on his orchard. He has 50 acres available on which he must grow a minimum of 5 acres of apples and a minimum of 10 acres of pears to meet demands. The profit per apple is 2 and the profit per pear is 4. He prefers to grow more pears than apples but limitations in his workforce allow him to grow at most twice the amount of pears as apples. How many of each fruit should Ben grow in order to maximize his profit? What is that profit?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Acres of apples
y = LpVariable('y', lowBound=0, cat='Continuous')  # Acres of pears

# Objective function
prob += 2 * x + 4 * y, ""Total_Profit""

# Constraints
prob += x + y <= 50, ""TotalAcreageConstraint""
prob += x >= 5, ""MinApplesConstraint""
prob += y >= 10, ""MinPearsConstraint""
prob += y <= 2 * x, ""PearsToApplesConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",166.666666
"A lighting company makes desk-lamps and night-lamps. There is an expected demand of at least 30 desk-lamps and 50 night-lamps each day. However, due to the size of their factory, they can make at most 150 desk-lamps and 180 night-lamps per day. To satisfy a contract, a minimum of 100 lamps must be made each day. If the profit per desk-lamp sold is 5 and the profit per night-lamp sold is 8, how many lamps of each type should be made to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of desk-lamps
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of night-lamps

# Objective function
prob += 5 * x + 8 * y, ""Total_Profit""

# Constraints
prob += x >= 30, ""MinDeskLampsConstraint""
prob += y >= 50, ""MinNightLampsConstraint""
prob += x <= 150, ""MaxDeskLampsConstraint""
prob += y <= 180, ""MaxNightLampsConstraint""
prob += x + y >= 100, ""TotalProductionConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",2190
"Mr. Roberts want to invest in the telecom and healthcare industries. He has 100000 to invest. He has decided that the amount invested in telecom be at least three times as much as the amount invested in healthcare. But the money invested in telecom must be at most 70000. If investments in telecom earn 3% and investments in healthcare earn 1%, how much should Mr. Roberts invest in each to maximize profit?","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Profit"", LpMaximize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Amount invested in telecom
y = LpVariable('y', lowBound=0, cat='Continuous')  # Amount invested in healthcare

# Objective function
prob += 0.03 * x + 0.01 * y, ""Total Profit""

# Constraints
prob += x + y <= 100000, ""Total investment constraint""
prob += x >= 3 * y, ""Telecom investment constraint""
prob += x <= 70000, ""Maximum telecom investment""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",2333.33333
"A farmer has 140 hectares available to grow tomatoes and potatoes. She prefers to plant more tomatoes than potatoes, but the soil and weather conditions allow her to grow at most twice the amount of tomatoes to that of potatoes. In addition, she must grow at least 20 hectares of tomatoes and at least 30 hectares of potatoes to meet community demands. If the profit per hectare of tomatoes is 350 and the profit per hectare of potatoes is $600, how many hectares of each crop should she plant to maximize profit? What is this profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Hectares of tomatoes
y = LpVariable('y', lowBound=0, cat='Continuous')  # Hectares of potatoes

# Objective function
prob += 350 * x + 600 * y, ""Total_Profit""

# Constraints
prob += x + y <= 140, ""TotalLandConstraint""
prob += x >= 20, ""MinTomatoesConstraint""
prob += y >= 30, ""MinPotatoesConstraint""
prob += x <= 2 * y, ""TomatoesToPotatoesConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",79000
"A audio company make two types of headphones: wired headphones and wireless headphones. Two different teams make each type of headphones. The wired team can make at most 100 wired headphones per day and the wireless team can make at most 170 wireless headphones per day. Both teams require use of a shared audio testing machine, and this machine can be used to make a maximum of 150 headphones per day. The profit per wired headphone is 50 and the profit per wireless headphone 20. How many of each headphone should be made to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of wired headphones
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of wireless headphones

# Objective function
prob += 50 * x + 20 * y, ""Total_Profit""

# Constraints
prob += x <= 100, ""MaxWiredHeadphonesConstraint""
prob += y <= 170, ""MaxWirelessHeadphonesConstraint""
prob += x + y <= 150, ""AudioTestingMachineConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",6000
"Jacob has 3000 to invest. He has decided to invest in his favorite clothing company and his favorite tech company. He has decided that the money invested in his favorite clothing company must be at least four times as much as the amount invested in his favorite tech company. He has also limited himself to invest at most 500 in his favorite tech company. If the money invested in his favorite clothing company earns 7% and the money invested in his favorite tech company earns 10%, how much should he invest in each to maximize his profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Amount invested in the clothing company
y = LpVariable('y', lowBound=0, cat='Continuous')  # Amount invested in the tech company

# Objective function
prob += 0.07 * x + 0.10 * y, ""Total_Profit""

# Constraints
prob += x + y <= 3000, ""TotalInvestmentConstraint""
prob += x >= 4 * y, ""InvestmentRatioConstraint""
prob += y <= 500, ""MaxTechInvestmentConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",225
"Each month a store owner can spend at most 500 on carrots and cucumbers. A carrot costs the store owner 0.30 and a cucumber costs the store owner 0.50. Each carrot is sold for a profit of 0.75 and each cucumber is sold for a profit of 0.80. The owner estimates that the number of cucumbers sold is at most a third of the number of carrots sold. He also estimates that at least 300 carrots but at most 500 carrots are sold each month. How many of each, carrots and cucumbers, should be sold in order to maximize the profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Number of carrots sold
y = LpVariable('y', lowBound=0, cat='Continuous')  # Number of cucumbers sold

# Objective function
prob += 0.75 * x + 0.80 * y, ""Total_Profit""

# Constraints
prob += 0.30 * x + 0.50 * y <= 500, ""TotalCostConstraint""
prob += y <= (1/3) * x, ""CucumberToCarrotRatioConstraint""
prob += x >= 300, ""MinCarrotsConstraint""
prob += x <= 500, ""MaxCarrotsConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",508.333336
"A farmer wants to manufacture a special plant nutrition using fertilizers A and B. Each kg of fertilizer A contains 13 units of nitrogen, 5 units of phosphoric acid, 6 units of vitamin A and 5 units of vitamin D. Each kg of fertilizer B contains 8 units of nitrogen, 14 units of phosphoric acid, 6 units of vitamin A and 9 units of vitamin D. To be effective, the plant nutrition requires a minimum 220 units of nitrogen, a minimum of 160 units of phosphoric acid, and no more than 350 units of vitamin A. How many kg of each fertilizer should be used to minimize the amount of vitamin D in the nutrition? What is the minimum amount of vitamin D?","from pulp import *

# Define the LP minimization problem
prob = LpProblem(""Minimize_Vitamin_D"", LpMinimize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # kg of fertilizer A
y = LpVariable('y', lowBound=0, cat='Continuous')  # kg of fertilizer B

# Objective function
prob += 5 * x + 9 * y, ""Total_Vitamin_D""

# Constraints
prob += 13 * x + 8 * y >= 220, ""NitrogenConstraint""
prob += 5 * x + 14 * y >= 160, ""PhosphoricAcidConstraint""
prob += 6 * x + 6 * y <= 350, ""VitaminAConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",125.4929565
"Mrs. Watson wants to invest in the real-estate market and has a total budget of at most 760000. She has two choices which include condos and detached houses. Each dollar invested in condos yields a 0.50 profit and each dollar invested in detached houses yields a 1 profit. A minimum of 20% of all money invested must be in condos, and at least 20000 must be in detached houses. Formulate an LP that can be used to maximize total profit earned from Mrs. Watson's investment.","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Amount invested in condos
y = LpVariable('y', lowBound=0, cat='Continuous')  # Amount invested in detached houses

# Objective function
prob += 0.50 * x + 1.00 * y, ""Total_Profit""

# Constraints
prob += x + y <= 760000, ""TotalBudgetConstraint""
prob += x >= 0.20 * (x + y), ""MinCondoInvestmentConstraint""
prob += y >= 20000, ""MinDetachedHouseInvestmentConstraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",684000
